Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
NoBroker,Real Estate ,3.2,"Promotions / Appraisal, Work Satisfaction, Job Security","Promotions / Appraisal, Work Satisfaction, Job Security",2014 (10 yrs old),1k-5k,1k-5k
Info Edge,Internet ,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Job Security",,,
Cholamandalam MS General Insurance,Insurance ,3.9,Promotions / Appraisal,Promotions / Appraisal,2001 (23 yrs old),50k-1 Lakh,1k-5k
Parle Agro,Beverage ,4.1,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1984 (40 yrs old),5k-10k,5k-10k
Shell,Oil & Gas ,4.2,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1907 (117 yrs old),50k-1 Lakh,10k-50k
Radisson Hotels,Hospitality ,4.0,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,1909 (115 yrs old),50k-1 Lakh,5k-10k
Tata Elxsi,IT Services & Consulting ,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1989 (35 yrs old),10k-50k,5k-10k
Kansai Nerolac Paints,Chemicals ,3.9,Job Security,Promotions / Appraisal,1920 (104 yrs old),1k-5k,1k-5k
Kalpataru Power Transmission,Engineering & Construction ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1981 (43 yrs old),1k-5k,1k-5k
Emcure Pharmaceuticals,Pharma ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1981 (43 yrs old),10k-50k,5k-10k
MSN Laboratories,Pharma ,3.8,Job Security,Company Culture,2003 (21 yrs old),10k-50k,10k-50k
suzuki motor gujarat,Becharaji +95 more,4.3,"Job Security, Salary & Benefits, Company Culture",Company Culture,,,
Cybage,IT Services & Consulting ,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1995 (29 yrs old),5k-10k,5k-10k
Life Insurance Corporation of India,Insurance ,4.4,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1956 (68 yrs old),1 Lakh+,1 Lakh+
Unacademy,EdTech ,3.1,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",2015 (9 yrs old),1k-5k,1k-5k
ICICI Securities,Financial Services ,3.9,Job Security,"Job Security, Promotions / Appraisal, Work Satisfaction",1995 (29 yrs old),1k-5k,1k-5k
Foundever,BPO ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1985 (39 yrs old),1 Lakh+,5k-10k
Mahindra Holidays & Resorts,Hospitality ,3.6,"Promotions / Appraisal, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Work Life Balance, Work Satisfaction",1996 (28 yrs old),5k-10k,5k-10k
Blinkit,Internet ,3.8,"Job Security, Promotions / Appraisal","Job Security, Promotions / Appraisal",2013 (11 yrs old),1k-5k,1k-5k
JMC Projects,Engineering & Construction ,4.2,"Job Security, Skill Development / Learning, Salary & Benefits","Job Security, Promotions / Appraisal",1982 (42 yrs old),1k-5k,1k-5k
Rivigo,Internet ,3.9,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",2014 (10 yrs old),1k-5k,1k-5k
Myntra,Internet ,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,2007 (17 yrs old),1k-5k,1k-5k
3i Infotech,IT Services & Consulting ,3.6,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1993 (31 yrs old),5k-10k,1k-5k
Planet Spark,EdTech ,3.7,Skill Development / Learning,Promotions / Appraisal,2017 (7 yrs old),201-500,51-200
Akums Drugs & Pharmaceuticals Limited,Pharma ,4.4,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,,,
Google,Internet ,4.4,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal,1995 (29 yrs old),1 Lakh+,10k-50k
Jindal Stainless,Iron & Steel ,4.2,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1970 (54 yrs old),10k-50k,1k-5k
Pfizer,Pharma ,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,2004 (20 yrs old),1 Lakh+,1k-5k
Syngene International,Pharma ,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1993 (31 yrs old),1k-5k,1k-5k
Cadila Pharmaceuticals,Pharma ,3.5,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",1951 (73 yrs old),5k-10k,5k-10k
