Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
Haldiram Foods,FMCG ,3.9,Promotions / Appraisal,Promotions / Appraisal,1970 (54 yrs old),10k-50k,1k-5k
Philips,Consumer Electronics & Appliances ,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,1930 (94 yrs old),50k-1 Lakh,5k-10k
BA Continuum,NBFC ,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,,,
AXA Business Services,Insurance ,3.8,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1946 (78 yrs old),5k-10k,501-1k
Safexpress,Logistics ,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1997 (27 yrs old),1k-5k,1k-5k
Exl India,IT Services & Consulting ,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1957 (67 yrs old),10k-50k,11-50
Aragen Life Sciences,Pharma ,4.1,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2000 (24 yrs old),1k-5k,1k-5k
Indian Navy,Defence & Aerospace ,4.6,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1950 (74 yrs old),50k-1 Lakh,50k-1 Lakh
Narayana Health,Healthcare ,4.2,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2000 (24 yrs old),10k-50k,10k-50k
Microland,IT Services & Consulting ,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1989 (35 yrs old),1k-5k,1k-5k
MetLife,Insurance ,4.3,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2008 (16 yrs old),10k-50k,1k-5k
SS&C TECHNOLOGIES,IT Services & Consulting ,3.5,"Promotions / Appraisal, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Work Life Balance, Work Satisfaction",,,
Spark Minda,Auto Components ,3.9,Promotions / Appraisal,Promotions / Appraisal,1958 (66 yrs old),1k-5k,1k-5k
Biological E,Biotechnology ,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1953 (71 yrs old),1k-5k,1k-5k
