Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count,Years old
Mankind Pharma,Pharma ,4.1,"Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1995,100000,100000,29
Croma,Retail ,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2006,100000,100000,18
Bajaj Allianz General Insurance,Insurance ,4.0,Skill Development / Learning,Promotions / Appraisal,2006,100000,100000,18
Wipro Enterprises Ltd,IT Services & Consulting ,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1945,100000,100000,79
Sammaan Capital Limited,NBFC ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1945,100000,100000,79
Walmart,Retail ,3.9,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,2009,100000,100000,15
Capita,IT Services & Consulting ,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",2005,100000,100000,19
Kyndryl,IT Services & Consulting ,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,2005,100000,100000,19
Apollo Tyres,Auto Components ,4.1,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,1972,100000,100000,52
ElasticRun,Logistics ,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",2016,100000,100000,8
UNO Minda,Auto Components ,4.1,"Job Security, Skill Development / Learning, Company Culture","Job Security, Promotions / Appraisal, Work Satisfaction",1958,100000,100000,66
Axis Direct,Financial Services ,3.9,Promotions / Appraisal,Promotions / Appraisal,2011,100000,100000,13
Societe Generale Global Solution Centre,Financial Services ,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2011,100000,100000,13
HDFC Sales,Financial Services ,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,2004,100000,100000,20
Nokia,Telecom ,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1865,100000,100000,159
KocharTech,IT Services & Consulting ,4.1,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,1995,100000,100000,29
Domino's Pizza,Hospitality ,4.0,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,1995,100000,100000,29
I Process Services,Recruitment ,3.9,"Promotions / Appraisal, Salary & Benefits","Promotions / Appraisal, Salary & Benefits",2005,100000,100000,19
Landmark Group,Retail ,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1973,100000,100000,51
Bajaj Electricals,Consumer Electronics & Appliances ,4.1,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal,1938,100000,100000,86
Motilal Oswal Financial Services,Financial Services ,3.8,Skill Development / Learning,Promotions / Appraisal,1987,100000,100000,37
Nestle,Food Processing ,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,1959,100000,100000,65
Max Healthcare,Healthcare ,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2001,100000,100000,23
Blue Dart Express,Logistics ,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1983,100000,100000,41
AGS Health,Analytics & KPO ,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2011,100000,100000,13
Fiserv,FinTech ,3.6,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1984,100000,100000,40
Suzlon Group,Power ,4.1,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1995,100000,100000,29
BlackBuck,Internet ,3.8,"Job Security, Promotions / Appraisal","Job Security, Promotions / Appraisal",2015,100000,100000,9
McDonald's,Hospitality ,4.2,"Skill Development / Learning, Company Culture, Job Security","Job Security, Promotions / Appraisal",1955,100000,100000,69
Huawei Technologies,Telecom ,4.0,"Salary & Benefits, Skill Development / Learning",Job Security,2002,100000,100000,22
Quest Global,IT Services & Consulting ,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1997,100000,100000,27
G4S,Law Enforcement & Security ,4.0,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,1996,100000,100000,28
IKS Health,Healthcare ,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2007,100000,100000,17
Sterlite Technologies,Hardware & Networking ,3.8,"Promotions / Appraisal, Job Security","Promotions / Appraisal, Job Security",1988,100000,100000,36
Micro Labs,Pharma ,3.7,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture",1973,100000,100000,51
Britannia,FMCG ,4.1,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal, Company Culture",1892,100000,100000,132
Patanjali Ayurved,FMCG ,4.1,"Work Life Balance, Job Security",Promotions / Appraisal,2006,100000,100000,18
Simplex Infrastructures,Engineering & Construction ,3.3,"Salary & Benefits, Promotions / Appraisal, Company Culture","Salary & Benefits, Promotions / Appraisal, Company Culture",1924,100000,100000,100
