Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count,Years old
Lodha Group,Real Estate ,4.1,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal,1980,100000,100000,44
Star Health & Allied Insurance,Insurance ,3.8,Promotions / Appraisal,Promotions / Appraisal,2006,100000,100000,18
CAMS,IT Services & Consulting ,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",1988,100000,100000,36
Delphi TVS,Auto Components ,4.0,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,1989,100000,100000,35
ITC Hotels,Hospitality ,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1975,100000,100000,49
Brakes India,Auto Components ,4.0,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal,1962,100000,100000,62
KENT RO Systems,Consumer Electronics & Appliances ,4.0,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal,1999,100000,100000,25
Tata Teleservices,Telecom ,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1996,100000,100000,28
Hero FinCorp,NBFC ,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1991,100000,100000,33
ESAF Microfinance & Investments (P),Financial Services ,3.9,Job Security,Promotions / Appraisal,1991,100000,100000,33
Coromandel International,Agro Chemicals ,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1961,100000,100000,63
Adani Power,Power ,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,2006,100000,100000,18
Varroc Group,Auto Components ,3.8,Promotions / Appraisal,Promotions / Appraisal,1988,100000,100000,36
Optum Global Solutions,IT Services & Consulting ,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2002,100000,100000,22
Laurus Labs,Pharma ,4.2,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal,2005,100000,100000,19
Bank of Baroda,Banking ,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",1908,100000,100000,116
SAP,Software Product ,4.3,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Work Satisfaction, Company Culture",1972,100000,100000,52
Cargill,Food Processing ,4.1,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,1865,100000,100000,159
Future Generali India Life Insurance,Insurance ,3.7,Promotions / Appraisal,Promotions / Appraisal,1865,100000,100000,159
Microsoft Corporation,Software Product ,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1975,100000,100000,49
ValueLabs,IT Services & Consulting ,3.8,Salary & Benefits,Promotions / Appraisal,1997,100000,100000,27
Meesho,Internet ,3.7,Salary & Benefits,"Job Security, Promotions / Appraisal",2015,100000,100000,9
Sterling & Wilson,Engineering & Construction ,4.1,"Work Life Balance, Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal",1927,100000,100000,97
Tata Motors Finance,NBFC ,4.1,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,1957,100000,100000,67
Adani Wilmar,FMCG ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1999,100000,100000,25
Gabriel India,Auto Components ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1961,100000,100000,63
Niva Bupa Health Insurance Company,Insurance ,3.7,"Promotions / Appraisal, Work Satisfaction","Promotions / Appraisal, Work Satisfaction",1961,100000,100000,63
Renault Nissan Technology & Business Centre India,Automobile ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1961,100000,100000,63
Sify Technologies,IT Services & Consulting ,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,1995,100000,100000,29
Citibank,Banking ,3.9,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,1812,100000,100000,212
JK Tyres,Auto Components ,3.8,"Promotions / Appraisal, Company Culture, Salary & Benefits","Promotions / Appraisal, Company Culture, Salary & Benefits",1951,100000,100000,73
TCE,Engineering & Construction ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1962,100000,100000,62
AECOM,Engineering & Construction ,4.3,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",1990,100000,100000,34
HCL Infosystems,IT Services & Consulting ,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1976,100000,100000,48
Power Mech Projects,Engineering & Construction ,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2007,100000,100000,17
Apollo Pharmacy,Pharma ,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,1983,100000,100000,41
Lucas-TVS,Auto Components ,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,1962,100000,100000,62
Matrimony.com,Internet ,4.4,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,1997,100000,100000,27
Allstate,Insurance ,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2012,100000,100000,12
Thomson Reuters,Software Product ,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2008,100000,100000,16
NeoSOFT,IT Services & Consulting ,4.0,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,1996,100000,100000,28
YASH Technologies,IT Services & Consulting ,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,1996,100000,100000,28
Taurus BPO Services,BPO ,4.6,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,1996,100000,100000,28
Crisil,Financial Services ,3.7,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1987,100000,100000,37
CitiusTech,IT Services & Consulting ,3.4,"Promotions / Appraisal, Job Security, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",2005,100000,100000,19
Hindustan Aeronautics,Defence & Aerospace ,4.4,"Skill Development / Learning, Work Life Balance, Job Security","Promotions / Appraisal, Job Security, Salary & Benefits",2005,100000,100000,19
Dr Lal PathLabs,Healthcare ,4.2,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Job Security, Salary & Benefits",1949,100000,100000,75
Parle Products,Food Processing ,4.0,Salary & Benefits,"Promotions / Appraisal, Job Security, Salary & Benefits",1929,100000,100000,95
SBI General Insurance,Insurance ,3.8,Job Security,Promotions / Appraisal,2009,100000,100000,15
Novartis,Pharma ,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1996,100000,100000,28
L&T Energy Hydrocarbon,Engineering & Construction ,4.0,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",1996,100000,100000,28
Reliance General Insurance,Insurance ,3.8,Promotions / Appraisal,Promotions / Appraisal,2000,100000,100000,24
Photon Interactive,IT Services & Consulting ,4.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,1999,100000,100000,25
Xoriant,IT Services & Consulting ,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,1990,100000,100000,34
Vedantu,EdTech ,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",2011,100000,100000,13
café Coffee day,Hospitality ,3.9,"Promotions / Appraisal, Salary & Benefits","Promotions / Appraisal, Salary & Benefits",2011,100000,100000,13
Tata Advanced Systems,Defence & Aerospace ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",2011,100000,100000,13
Uflex,Packaging ,3.8,Job Security,"Promotions / Appraisal, Company Culture",1985,100000,100000,39
IDBI Bank,Banking ,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",1964,100000,100000,60
Kotak Securities,Financial Services ,3.7,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1994,100000,100000,30
SBI Securities,Financial Services ,3.8,Promotions / Appraisal,Promotions / Appraisal,1994,100000,100000,30
Frankfinn Institute of Air Hostess Training,Education & Training ,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,1993,100000,100000,31
TVS Sundram Fasteners,Auto Components ,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",1993,100000,100000,31
Aditya Birla Capital,Financial Services ,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",1993,100000,100000,31
SGS,Other ,3.9,Promotions / Appraisal,Promotions / Appraisal,1878,100000,100000,146
Haldiram Foods,FMCG ,3.9,Promotions / Appraisal,Promotions / Appraisal,1970,100000,100000,54
Philips,Consumer Electronics & Appliances ,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,1930,100000,100000,94
BA Continuum,NBFC ,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1930,100000,100000,94
AXA Business Services,Insurance ,3.8,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1946,100000,100000,78
Safexpress,Logistics ,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1997,100000,100000,27
Exl India,IT Services & Consulting ,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1957,100000,100000,67
Aragen Life Sciences,Pharma ,4.1,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2000,100000,100000,24
Indian Navy,Defence & Aerospace ,4.6,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1950,100000,100000,74
Narayana Health,Healthcare ,4.2,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2000,100000,100000,24
Microland,IT Services & Consulting ,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1989,100000,100000,35
MetLife,Insurance ,4.3,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2008,100000,100000,16
SS&C TECHNOLOGIES,IT Services & Consulting ,3.5,"Promotions / Appraisal, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Work Life Balance, Work Satisfaction",2008,100000,100000,16
Spark Minda,Auto Components ,3.9,Promotions / Appraisal,Promotions / Appraisal,1958,100000,100000,66
Biological E,Biotechnology ,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1953,100000,100000,71
